Periods,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
1913,83000,97196.5632557338,112303.42145260073,128163.15196745424,144496.4769460348,160901.63579004683,176906.94987675655,192050.95340435288,205955.76564831927,218370.77246588253,229181.54641952395,238392.27381325728,246094.759585666,252435.2855193002,257586.15657213,261724.61713038688,265019.1114562601,267621.5707082633,269664.06838340213,271258.3372352876
1914,212000,248261.1013278984,286847.2933488115,327356.4845433771,369075.3387055346,410977.67213843286,451858.71534786007,490539.78459907,526055.6905716107,557766.3103947843,585379.3715775793,608905.5668483197,628579.385929653,644774.4642179715,657930.9059432718,668501.4317065304,676916.2846834596,683563.5300018291,688780.5120154368,692852.6204082045
1915,197000,230695.4573660188,266551.4942911126,304194.46912757214,342961.51757070905,381899.06326071353,419887.5798279643,455831.7809717773,488834.7690689024,518301.712961191,543961.0198150147,565822.6257977311,584104.4293780265,599153.6294855679,611379.1909001158,621201.8021046532,629021.264540762,635198.1858979262,640046.0418256654,643830.0293415862
1916,412000,482469.68748629314,557457.9474514639,636183.3567541103,717259.6205032088,798692.4571746902,878140.5222798035,953313.1662963058,1022334.6439410548,1083960.942842694,1137624.061745107,1183344.7808561686,1221578.8066180048,1253052.2606500203,1278620.4398520186,1299163.159731559,1315516.553252761,1328434.784720536,1338573.4478790564,1346487.1679631143
1917,342000,400496.682330855,462744.2185155355,528093.9514803537,595395.1218740229,662992.2824120001,728941.8898536233,791342.4827022733,848637.0102617494,899792.8214859256,944338.4201864722,982291.0559534214,1014029.0093770816,1040155.0318988032,1061379.1029839574,1078431.5549227989,1092006.4592535056,1102729.8455689885,1111145.9203267896,1117715.076318896
1918,382000,447338.39956253394,516866.3493360661,589859.3259225003,665031.9782335577,740535.2394192517,814198.251240012,883897.1590417204,947892.800935638,1005031.7479755076,1054787.3582199777,1097178.8987549911,1132628.893514752,1161810.591185213,1185517.0097657067,1204563.9005278046,1219726.5129673658,1231704.09651273,1241104.5074995134,1248441.985829878
1919,310000,363023.3085455118,419446.5138591112,478681.6519266364,539685.636786395,600957.916806199,660736.8007445124,717298.7416307156,769232.3777226383,815601.68029426,855979.2697596678,890380.7817121656,919149.1020669452,942830.5844696754,962068.7775585578,977525.6784387944,989830.4162824173,999550.4448139956,1007179.0505886103,1013133.5487101102
1920,291000,340773.4928604643,393738.5017193592,449343.09906661673,506608.130015616,564125.0122277546,620240.0290859778,673335.2703694782,722085.8771525411,765613.1902117087,803516.0241937527,835809.05638142,862814.1571015519,885044.1938086308,903103.2718372268,917612.8142764168,929163.3907683336,938287.6756157184,945448.7216815666,951038.2666923938
1921,263000,307984.29079828906,355853.01014498784,406107.3369571141,457862.3305639416,509844.94232267846,560560.5761155057,608546.9969318651,652606.8236808189,691945.9416690012,726201.7675702989,755387.5664203211,779794.2382051826,799885.302308144,816206.7370900023,829320.1723529126,839759.3531686314,848005.6999550994,854477.7106606598,859529.4300347065
1922,244000,285734.4751132416,330144.9980052359,376768.7840970944,424784.8237931625,473012.037744234,520063.8044569711,564583.5256706277,605460.3231107218,641957.4515864499,673738.5220043837,700815.8410895756,723459.2932397892,742098.9116470994,757241.2313686713,769407.3081905349,779092.3276545478,786742.9307568222,792747.3817536159,797434.14801699
1923,231000,270510.9170129459,312555.3054885635,356695.0374033968,402152.84547631367,447810.5767168773,492355.4870063947,534503.2558603074,573202.1911417079,607754.8004773357,637842.6171434944,663477.2921790653,684914.3308950464,702560.8548790162,716896.4116646027,728414.295868908,737583.3101975432,744826.2992001063,750510.8409224807,754947.9024259209
1924,221000,258800.48770502617,299024.7727834309,341253.69379286014,384743.63138642994,428424.8374650644,471041.3966597975,511364.5867754456,548388.2434732356,581445.0688549402,610230.382635118,634755.3314786729,655264.3598606287,672146.9650574138,685861.9349691654,696881.2094676567,705653.2967690781,712582.736464171,718021.1941292997,722266.1750481754
1925,242000,283392.38925165765,327438.89146420936,373680.5153749871,421302.98097518575,469134.8898938714,515800.9863876517,559955.7918536554,600497.5335770273,636695.5052619707,668216.0751027084,695071.4489494971,717529.2990329057,736016.1336827789,751034.3360295838,763100.6909102846,772706.3249688548,780294.2182096352,786249.4523949798,790897.8025414409
1926,226000,264655.702358986,305790.0391359972,348974.36559812847,393448.2384313718,438117.7070909709,481698.44183309615,522933.9213178765,560795.2173074718,594599.9346661379,624036.4998893063,649116.3118288692,670089.3453778375,687353.909968215,701379.1733168841,712647.7526682824,721618.3034833106,728704.5178321387,734266.0175258901,738607.0387370482
1927,196000,229524.4144352268,265198.44102059933,302650.3347665185,341220.5961617207,379960.4893355322,417756.1707933046,453517.9140632911,486353.3743020552,515670.7397989515,541199.796364177,562950.4297276918,581139.4322745848,596112.2405034077,608275.743230572,618048.493464528,625828.2631979154,631973.8296243326,636797.0771463473,640561.8566038116
1928,165000,193222.08358067565,223253.7896346882,254782.1695738549,287252.0324830812,319864.6976549124,351682.49071885337,381788.03990021953,409430.13652979134,434110.5717695255,455601.8693882103,473912.3515564753,489224.5220678903,501829.18205644016,512068.8654747162,520295.9256206486,526845.2215696737,532018.7851429331,536079.1720874863,539248.5017328006
1929,157000,183853.74013433987,212429.3634705821,242429.09468542552,273324.6612111742,304356.1062534621,334631.21844157565,363277.1046323301,389578.9783950136,413062.7864716091,433512.0817815092,450934.7829961613,465504.5452403562,477498.0701991582,487241.2841183664,495069.45649964747,501301.21082690166,506223.9349541848,510087.45465294144,513103.1198306042
1930,173000,202590.42702701144,234078.2157987943,267135.2444622842,301179.40375498816,335373.28905636264,368733.7629961311,400298.975168109,429281.2946645691,455158.35706744186,477691.6569949114,496889.9201167892,512944.4988954243,526160.2939137222,536896.4468310662,545522.3947416497,552389.2323124458,557813.6353316813,562070.889522031,565393.8836349971
1931,209000,244747.97253552248,282788.1335372717,322724.08146021614,363852.5744785695,405161.950362889,445464.4882438809,483598.1838736114,518611.50627106905,549873.3909080656,577095.7012250663,600288.978638202,619684.3946193276,635650.2972714909,648620.5629346406,659041.5057861549,667337.28065492,673890.4611810485,679033.6179774825,683048.1021948808
1932,202000,236550.6720199787,273316.7606436789,311915.14093284047,351666.1246156509,391591.93288662,430544.6250012629,467401.1155142082,501241.7429031385,531456.5787723887,557767.1370692028,580183.6061479272,598929.4148952353,614360.5743963692,626896.4292478344,636968.3453052789,644986.2712549944,651319.9672658938,656290.8652222558,660170.893030459
1933,189000,221327.113919683,255727.0681270065,291841.3942391428,329034.1462988021,366390.47185926326,402836.3075506866,437320.8457038879,468983.6109341246,497253.9276632746,521871.2322083136,542845.0572374171,560384.4525504925,574822.517628286,586551.6095437659,595975.332983652,603477.2537979899,609403.3357091779,614054.3243911206,617684.6474393898
1934,237000,277537.17459769774,320673.62511164305,365959.8435697188,412598.3739302439,459442.020267965,505143.941214353,548386.4573112244,588090.5597427912,623540.639450773,654409.9578485203,680710.4685993008,702704.3135156969,720809.1887719777,735517.0976818651,747334.147709659,756741.3182546223,764172.4368416675,770004.6289983892,774556.9388525682
1935,216000,252945.2730510663,292259.50643086457,333533.0219875918,376039.02434148814,418731.967839158,460384.35148649896,499795.2522330147,535981.2696389996,568290.2030437425,596424.2653809298,620394.3511284767,640439.3743434199,656940.0201466125,670344.6966214468,681114.6662670309,689688.2900548456,696460.9550962033,701776.3707327092,705925.3113593026
1936,166000,194393.1265114676,224606.84290520145,256326.3039349085,288992.9538920696,321803.27158009366,353813.8997535131,384101.90680870577,411911.53129663854,436741.54493176506,458363.0928390479,476784.5476265145,492189.519171332,504870.5710386004,515172.31314426,523449.23426077375,530038.2229125202,535243.1414165266,539328.1367668043,542516.6744705752
1937,198000,231866.5002968108,267904.54756162583,305738.60348862584,344702.4389796974,383837.6371858948,422018.988862624,458145.64788026345,491316.1638357496,520932.6861234306,546722.2432658523,568694.8218677703,587069.4264814683,602195.0184677282,614482.6385696594,624355.1107447783,632214.2658836085,638422.5421715197,643295.0065049834,647098.2020793607
1938,74000,86657.17687860604,100125.94201798138,114265.94271797128,128828.18426513944,143454.47046341523,157724.2685648191,171226.15122797724,183623.2127466943,194692.01400572655,204330.5353619852,212542.5091829041,219409.78565469015,225062.784679858,229655.1275462364,233344.8393692606,236282.09937064155,238602.3642459215,240423.38626953927,241844.78259531665
1939,375000,439141.0990469901,507394.9764424732,579050.3853951247,652845.5283706391,726965.2219429826,799278.3879973941,867700.0906823172,930523.0375677076,986614.9358398308,1035458.7940641145,1077073.5262647164,1111873.9137906595,1140520.868310091,1163792.8760789004,1182490.7400469286,1197375.5035674402,1209133.6025975752,1218361.7547442869,1225564.776665456
1940,415000,485982.81627866905,561517.1072630037,640815.7598372713,722482.384730174,804508.1789502341,884534.7493837827,960254.7670217644,1029778.8282415963,1091853.8623294127,1145907.73209762,1191961.369066286,1230473.79792833,1262176.427596501,1287930.78286065,1308623.0856519344,1325095.557281301,1338107.8535413165,1348320.3419170107,1356291.686176438
1941,278000,325549.93476016866,376148.8092026868,429269.3523729191,483976.1516987671,538923.5512003978,592531.7116354015,643255.0005591578,689827.7451835272,731410.5391025945,767620.1193328634,798470.5074709099,824269.194756809,845506.1370405477,862758.4521331582,876619.8019547898,887654.373311329,896371.0440590024,903212.1808504312,908552.0211013248
1942,321000,375904.7807842235,434330.099834757,495667.1298982267,558835.772285267,622282.2299831931,684182.3001257693,742751.2776240635,796527.7201579578,844542.385078895,886352.7277188818,921974.9384825974,951764.0702048048,976285.863273438,996206.7019235388,1012212.0734801708,1024953.4310537288,1035018.3638235244,1042917.6620611096,1049083.4488256304
1943,285000,333747.2352757125,385620.1820962796,440078.2929002948,496162.6015616857,552493.5686766668,607451.5748780195,659452.0689185611,707197.5085514578,749827.3512382713,786948.6834887268,818575.8799611846,845024.1744809013,866795.8599156693,884482.5858199644,898692.9624356658,910005.3827112546,918941.5379741573,925954.933605658,931429.2302657466
1944,276000,323207.8488985847,373442.70266166027,426181.08365081175,480494.3088807904,535046.4033500352,588268.893566082,638627.2667421855,684864.9556498328,726148.5927781154,762097.6724311882,792726.1153308314,818339.2005499254,839423.3590762272,856551.5567940708,870313.1846745395,881268.3706256361,889922.3315118153,896714.2514917951,902015.6756257756
